Model,Scenario,Method,AUC
Vanilla,5,gate CR_1,0.6673
Vanilla,5,gate CR_2,0.6676
Vanilla,5,gate CR_3,0.6719
Vanilla,5,gate CR_4,0.5986
Vanilla,5,gate CR_5,0.6810
Vanilla,5,Vanilla,0.6880
MoE,5,SUM,0.6673
MoE,5,concat CR_0,0.6738
MoE,5,concat CR_1,0.6633
MoE,5,concat CR_2,0.6661
MoE,5,concat CR_3,0.6726
MoE,5,concat CR_4,0.6945
MoE,5,concat CR_5,0.6056
MoE,5,gate CR_0,0.6275
MoE,5,gate CR_1,0.6518
MoE,5,gate CR_2,0.6735
MoE,5,gate CR_3,0.6414
MoE,5,gate CR_4,0.6642
MoE,5,gate CR_5,0.6637
MoE,5,Vanilla,0.6588
