tag,model,backbone,router_mode,expert_mode,shared_mode,seed,scenario,method,auc
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,0,gate CR_1,0.7122
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,4,SUM,0.7234
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,0,gate CR_3,0.7125
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,4,gate CR_1,0.7163
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,4,gate CR_3,0.7240
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,0,concat CR_1,0.7136
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,4,concat CR_1,0.7074
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,4,concat CR_3,0.7142
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,0,concat CR_3,0.7170
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,2,SUM,0.7969
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,4,SUM,0.7137
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,2,gate CR_1,0.7905
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,4,gate CR_1,0.7167
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,2,gate CR_3,0.7940
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,4,gate CR_3,0.7123
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,2,concat CR_1,0.8008
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,2,concat CR_3,0.7941
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,4,concat CR_1,0.7156
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,6,SUM,0.7166
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,4,concat CR_3,0.7113
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,2,SUM,0.7923
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,6,gate CR_1,0.7156
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,2,gate CR_1,0.7978
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,6,gate CR_3,0.7228
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,2,gate CR_3,0.8007
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,6,concat CR_1,0.7147
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,2,concat CR_1,0.7970
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,6,concat CR_3,0.7183
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,2,concat CR_3,0.7971
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,3,SUM,0.6437
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,6,SUM,0.7130
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,6,gate CR_1,0.7256
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,3,gate CR_1,0.7224
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,6,gate CR_3,0.7260
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,6,concat CR_1,0.7237
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,3,gate CR_3,0.7111
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,6,concat CR_3,0.7242
partial-shared_pretrain_seed42,partial-shared,pretrain,none,none,none,42,3,SUM,0.6803
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,3,concat CR_1,0.7406
fully-routed_pretrain_seed42,fully-routed,pretrain,none,none,none,42,3,concat CR_3,0.7122
